Total Pressure: 5.82 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: 11.64 , Pressure 4: 1.45 , Horizontal: 0.00 
Total Pressure: 1.45 , Pressure 1: 1.45 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: 0.00 
Total Pressure: 4.36 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: 1.45 , Pressure 4: 2.91 , Horizontal: 0.01 
Total Pressure: 11.64 , Pressure 1: 1.45 , Pressure 2: 0.00 , Pressure 3: 5.82 , Pressure 4: 4.36 , Horizontal: 0.03 
Total Pressure: 16.00 , Pressure 1: 2.91 , Pressure 2: 0.00 , Pressure 3: 13.09 , Pressure 4: 0.00 , Horizontal: -0.01 
Total Pressure: -7.27 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: 8.73 , Pressure 1: -4.36 , Pressure 2: 1.45 , Pressure 3: 11.64 , Pressure 4: 0.00 , Horizontal: 0.00 
Total Pressure: 8.73 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: 13.09 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: -2.91 , Pressure 1: -2.91 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: 0.01 
Total Pressure: 1.45 , Pressure 1: -7.27 , Pressure 2: 1.45 , Pressure 3: 8.73 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -1.45 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.00 
Total Pressure: 11.64 , Pressure 1: 2.91 , Pressure 2: 4.36 , Pressure 3: 1.45 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: 7.27 , Pressure 1: 2.91 , Pressure 2: 1.45 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: 10.18 , Pressure 1: 0.00 , Pressure 2: 0.00 , Pressure 3: 7.27 , Pressure 4: 2.91 , Horizontal: 0.01 
Total Pressure: -2.91 , Pressure 1: -1.45 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: 0.01 
Total Pressure: 4.36 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: 1.45 , Pressure 4: 2.91 , Horizontal: 0.02 
Total Pressure: 4.36 , Pressure 1: -2.91 , Pressure 2: -1.45 , Pressure 3: 8.73 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 16.00 , Pressure 1: 0.00 , Pressure 2: 4.36 , Pressure 3: 10.18 , Pressure 4: 1.45 , Horizontal: 0.00 
Total Pressure: 5.82 , Pressure 1: -4.36 , Pressure 2: -2.91 , Pressure 3: 13.09 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 7.27 , Pressure 1: 2.91 , Pressure 2: -1.45 , Pressure 3: 5.82 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: -4.36 , Pressure 1: -7.27 , Pressure 2: 2.91 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.03 
Total Pressure: 11.64 , Pressure 1: 1.45 , Pressure 2: 0.00 , Pressure 3: 5.82 , Pressure 4: 4.36 , Horizontal: 0.03 
Total Pressure: -1.45 , Pressure 1: -2.91 , Pressure 2: -2.91 , Pressure 3: 5.82 , Pressure 4: -1.45 , Horizontal: 0.03 
Total Pressure: 0.00 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: -0.01 
Total Pressure: 4.36 , Pressure 1: 1.45 , Pressure 2: -2.91 , Pressure 3: 7.27 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: 5.82 , Pressure 1: 0.00 , Pressure 2: -1.45 , Pressure 3: 7.27 , Pressure 4: 0.00 , Horizontal: -0.01 
Total Pressure: -7.27 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 18.91 , Pressure 1: 2.91 , Pressure 2: -2.91 , Pressure 3: 17.46 , Pressure 4: 1.45 , Horizontal: 0.03 
Total Pressure: -7.27 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: 1.45 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -5.82 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 18.91 , Pressure 1: 1.45 , Pressure 2: 2.91 , Pressure 3: 13.09 , Pressure 4: 1.45 , Horizontal: -0.01 
Total Pressure: -1.45 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: -5.82 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: 0.01 
Total Pressure: 2.91 , Pressure 1: 2.91 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: 0.02 
Total Pressure: 0.00 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: 5.82 , Pressure 4: 0.00 , Horizontal: -0.01 
Total Pressure: -5.82 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -0.00 , Pressure 1: -4.36 , Pressure 2: -2.91 , Pressure 3: 8.73 , Pressure 4: -1.45 , Horizontal: 0.03 
Total Pressure: -1.45 , Pressure 1: 0.00 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: -0.02 
Total Pressure: 11.64 , Pressure 1: 0.00 , Pressure 2: 1.45 , Pressure 3: 10.18 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 1.45 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: 0.01 
Total Pressure: -2.91 , Pressure 1: -2.91 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: -0.02 
Total Pressure: 1.45 , Pressure 1: 1.45 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: -0.01 
Total Pressure: 2.91 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: -7.27 , Pressure 1: -2.91 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: 16.00 , Pressure 1: -5.82 , Pressure 2: 2.91 , Pressure 3: 16.00 , Pressure 4: 2.91 , Horizontal: 0.02 
Total Pressure: -7.27 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: 1.45 , Horizontal: -0.01 
Total Pressure: 4.36 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: 8.73 , Pressure 4: 4.36 , Horizontal: -0.01 
Total Pressure: -2.91 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: 1.45 , Pressure 4: 4.36 , Horizontal: 0.00 
Total Pressure: 24.73 , Pressure 1: 4.36 , Pressure 2: 5.82 , Pressure 3: 7.27 , Pressure 4: 7.27 , Horizontal: 0.01 
Total Pressure: 26.19 , Pressure 1: 7.27 , Pressure 2: -1.45 , Pressure 3: 7.27 , Pressure 4: 13.09 , Horizontal: -0.01 
Total Pressure: 42.19 , Pressure 1: 7.27 , Pressure 2: 4.36 , Pressure 3: 14.55 , Pressure 4: 16.00 , Horizontal: 0.01 
Total Pressure: 74.20 , Pressure 1: 17.46 , Pressure 2: 7.27 , Pressure 3: 24.73 , Pressure 4: 24.73 , Horizontal: 0.01 
Total Pressure: 85.84 , Pressure 1: 14.55 , Pressure 2: 8.73 , Pressure 3: 43.65 , Pressure 4: 18.91 , Horizontal: 0.03 
Total Pressure: 113.48 , Pressure 1: 32.01 , Pressure 2: 14.55 , Pressure 3: 39.28 , Pressure 4: 27.64 , Horizontal: 0.00 
Total Pressure: 114.93 , Pressure 1: 32.01 , Pressure 2: 10.18 , Pressure 3: 43.65 , Pressure 4: 29.10 , Horizontal: -0.04 
Total Pressure: 158.58 , Pressure 1: 39.28 , Pressure 2: 20.37 , Pressure 3: 61.10 , Pressure 4: 37.83 , Horizontal: 0.01 
Total Pressure: 186.22 , Pressure 1: 46.56 , Pressure 2: 27.64 , Pressure 3: 68.38 , Pressure 4: 43.65 , Horizontal: 0.00 
Total Pressure: 237.14 , Pressure 1: 62.56 , Pressure 2: 33.46 , Pressure 3: 87.29 , Pressure 4: 53.83 , Horizontal: 0.00 
Total Pressure: 276.42 , Pressure 1: 75.65 , Pressure 2: 40.74 , Pressure 3: 88.75 , Pressure 4: 71.29 , Horizontal: -0.02 
Total Pressure: 309.89 , Pressure 1: 84.38 , Pressure 2: 46.56 , Pressure 3: 106.21 , Pressure 4: 72.74 , Horizontal: 0.00 
Total Pressure: 370.99 , Pressure 1: 103.30 , Pressure 2: 58.19 , Pressure 3: 117.84 , Pressure 4: 91.66 , Horizontal: 0.00 
Total Pressure: 451.01 , Pressure 1: 128.03 , Pressure 2: 77.11 , Pressure 3: 132.39 , Pressure 4: 113.48 , Horizontal: 0.04 
Total Pressure: 512.11 , Pressure 1: 145.49 , Pressure 2: 81.47 , Pressure 3: 165.85 , Pressure 4: 119.30 , Horizontal: -0.01 
Total Pressure: 507.75 , Pressure 1: 138.21 , Pressure 2: 82.93 , Pressure 3: 165.85 , Pressure 4: 120.75 , Horizontal: 0.03 
Total Pressure: 480.11 , Pressure 1: 141.12 , Pressure 2: 78.56 , Pressure 3: 145.49 , Pressure 4: 114.93 , Horizontal: 0.00 
Total Pressure: 494.65 , Pressure 1: 138.21 , Pressure 2: 77.11 , Pressure 3: 160.04 , Pressure 4: 119.30 , Horizontal: -0.02 
Total Pressure: 485.93 , Pressure 1: 145.49 , Pressure 2: 80.02 , Pressure 3: 145.49 , Pressure 4: 114.93 , Horizontal: -0.03 
Total Pressure: 490.29 , Pressure 1: 135.30 , Pressure 2: 78.56 , Pressure 3: 160.04 , Pressure 4: 116.39 , Horizontal: -0.01 
Total Pressure: 481.56 , Pressure 1: 144.03 , Pressure 2: 74.20 , Pressure 3: 146.94 , Pressure 4: 116.39 , Horizontal: -0.01 
Total Pressure: 484.47 , Pressure 1: 144.03 , Pressure 2: 74.20 , Pressure 3: 149.85 , Pressure 4: 116.39 , Horizontal: 0.05 
Total Pressure: 478.65 , Pressure 1: 142.58 , Pressure 2: 71.29 , Pressure 3: 146.94 , Pressure 4: 117.84 , Horizontal: 0.02 
Total Pressure: 512.11 , Pressure 1: 145.49 , Pressure 2: 87.29 , Pressure 3: 149.85 , Pressure 4: 129.48 , Horizontal: -0.01 
Total Pressure: 618.32 , Pressure 1: 174.58 , Pressure 2: 103.30 , Pressure 3: 192.04 , Pressure 4: 148.40 , Horizontal: 0.03 
Total Pressure: 616.86 , Pressure 1: 178.95 , Pressure 2: 106.21 , Pressure 3: 180.40 , Pressure 4: 151.31 , Horizontal: 0.03 
Total Pressure: 609.59 , Pressure 1: 168.76 , Pressure 2: 101.84 , Pressure 3: 184.77 , Pressure 4: 154.22 , Horizontal: 0.02 
Total Pressure: 613.95 , Pressure 1: 178.95 , Pressure 2: 101.84 , Pressure 3: 184.77 , Pressure 4: 148.40 , Horizontal: 0.00 
Total Pressure: 622.68 , Pressure 1: 174.58 , Pressure 2: 100.39 , Pressure 3: 197.86 , Pressure 4: 149.85 , Horizontal: 0.00 
Total Pressure: 618.32 , Pressure 1: 174.58 , Pressure 2: 96.02 , Pressure 3: 200.77 , Pressure 4: 146.94 , Horizontal: -0.04 
Total Pressure: 606.68 , Pressure 1: 171.67 , Pressure 2: 100.39 , Pressure 3: 184.77 , Pressure 4: 149.85 , Horizontal: 0.01 
Total Pressure: 613.95 , Pressure 1: 176.04 , Pressure 2: 107.66 , Pressure 3: 181.86 , Pressure 4: 148.40 , Horizontal: 0.01 
Total Pressure: 612.50 , Pressure 1: 167.31 , Pressure 2: 96.02 , Pressure 3: 199.32 , Pressure 4: 149.85 , Horizontal: -0.03 
Total Pressure: 605.22 , Pressure 1: 173.13 , Pressure 2: 101.84 , Pressure 3: 184.77 , Pressure 4: 145.49 , Horizontal: 0.01 
Total Pressure: 593.59 , Pressure 1: 167.31 , Pressure 2: 101.84 , Pressure 3: 177.49 , Pressure 4: 146.94 , Horizontal: 0.00 
Total Pressure: 368.08 , Pressure 1: 101.84 , Pressure 2: 50.92 , Pressure 3: 130.94 , Pressure 4: 84.38 , Horizontal: -0.02 
Total Pressure: 119.30 , Pressure 1: 29.10 , Pressure 2: 13.09 , Pressure 3: 48.01 , Pressure 4: 29.10 , Horizontal: -0.02 
Total Pressure: 42.19 , Pressure 1: 5.82 , Pressure 2: 4.36 , Pressure 3: 24.73 , Pressure 4: 7.27 , Horizontal: -0.01 
Total Pressure: 14.55 , Pressure 1: -4.36 , Pressure 2: 2.91 , Pressure 3: 16.00 , Pressure 4: 0.00 , Horizontal: -0.03 
Total Pressure: 11.64 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: 14.55 , Pressure 4: 2.91 , Horizontal: 0.00 
Total Pressure: 11.64 , Pressure 1: 1.45 , Pressure 2: -1.45 , Pressure 3: 7.27 , Pressure 4: 4.36 , Horizontal: 0.01 
Total Pressure: 7.27 , Pressure 1: 2.91 , Pressure 2: 0.00 , Pressure 3: 2.91 , Pressure 4: 1.45 , Horizontal: 0.02 
Total Pressure: 7.27 , Pressure 1: 2.91 , Pressure 2: 1.45 , Pressure 3: 0.00 , Pressure 4: 2.91 , Horizontal: 0.03 
Total Pressure: 17.46 , Pressure 1: 1.45 , Pressure 2: 1.45 , Pressure 3: 14.55 , Pressure 4: 0.00 , Horizontal: 0.00 
Total Pressure: 11.64 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: 14.55 , Pressure 4: 2.91 , Horizontal: 0.03 
Total Pressure: 27.64 , Pressure 1: -2.91 , Pressure 2: 4.36 , Pressure 3: 21.82 , Pressure 4: 4.36 , Horizontal: 0.01 
Total Pressure: 40.74 , Pressure 1: 13.09 , Pressure 2: 5.82 , Pressure 3: 8.73 , Pressure 4: 13.09 , Horizontal: 0.02 
Total Pressure: 109.11 , Pressure 1: 23.28 , Pressure 2: 17.46 , Pressure 3: 42.19 , Pressure 4: 26.19 , Horizontal: 0.01 
Total Pressure: 149.85 , Pressure 1: 40.74 , Pressure 2: 24.73 , Pressure 3: 46.56 , Pressure 4: 37.83 , Horizontal: 0.01 
Total Pressure: 245.87 , Pressure 1: 66.92 , Pressure 2: 37.83 , Pressure 3: 88.75 , Pressure 4: 52.38 , Horizontal: 0.00 
Total Pressure: 321.53 , Pressure 1: 93.11 , Pressure 2: 53.83 , Pressure 3: 100.39 , Pressure 4: 74.20 , Horizontal: -0.02 
Total Pressure: 404.45 , Pressure 1: 112.02 , Pressure 2: 65.47 , Pressure 3: 132.39 , Pressure 4: 94.57 , Horizontal: -0.03 
Total Pressure: 501.93 , Pressure 1: 148.40 , Pressure 2: 85.84 , Pressure 3: 141.12 , Pressure 4: 126.57 , Horizontal: 0.00 
Total Pressure: 640.14 , Pressure 1: 177.49 , Pressure 2: 109.11 , Pressure 3: 197.86 , Pressure 4: 155.67 , Horizontal: 0.02 
Total Pressure: 740.53 , Pressure 1: 210.96 , Pressure 2: 130.94 , Pressure 3: 210.96 , Pressure 4: 187.68 , Horizontal: -0.04 
Total Pressure: 784.17 , Pressure 1: 213.87 , Pressure 2: 139.67 , Pressure 3: 238.60 , Pressure 4: 192.04 , Horizontal: 0.00 
Total Pressure: 772.53 , Pressure 1: 218.23 , Pressure 2: 135.30 , Pressure 3: 228.41 , Pressure 4: 190.59 , Horizontal: -0.04 
Total Pressure: 773.99 , Pressure 1: 221.14 , Pressure 2: 133.85 , Pressure 3: 231.32 , Pressure 4: 187.68 , Horizontal: 0.04 
Total Pressure: 776.90 , Pressure 1: 212.41 , Pressure 2: 132.39 , Pressure 3: 244.42 , Pressure 4: 187.68 , Horizontal: 0.00 
Total Pressure: 776.90 , Pressure 1: 222.59 , Pressure 2: 132.39 , Pressure 3: 234.23 , Pressure 4: 187.68 , Horizontal: 0.02 
Total Pressure: 768.17 , Pressure 1: 215.32 , Pressure 2: 129.48 , Pressure 3: 235.69 , Pressure 4: 187.68 , Horizontal: 0.01 
Total Pressure: 605.22 , Pressure 1: 171.67 , Pressure 2: 98.93 , Pressure 3: 189.13 , Pressure 4: 145.49 , Horizontal: -0.03 
Total Pressure: 117.84 , Pressure 1: 27.64 , Pressure 2: 21.82 , Pressure 3: 43.65 , Pressure 4: 24.73 , Horizontal: 0.01 
Total Pressure: 27.64 , Pressure 1: 7.27 , Pressure 2: 0.00 , Pressure 3: 16.00 , Pressure 4: 4.36 , Horizontal: -0.01 
Total Pressure: 13.09 , Pressure 1: -1.45 , Pressure 2: -1.45 , Pressure 3: 16.00 , Pressure 4: 0.00 , Horizontal: -0.01 
Total Pressure: 0.00 , Pressure 1: 1.45 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 0.00 , Horizontal: 0.03 
Total Pressure: 2.91 , Pressure 1: -5.82 , Pressure 2: 2.91 , Pressure 3: 5.82 , Pressure 4: 0.00 , Horizontal: -0.01 
Total Pressure: 10.18 , Pressure 1: 1.45 , Pressure 2: 2.91 , Pressure 3: 4.36 , Pressure 4: 1.45 , Horizontal: 0.02 
Total Pressure: 53.83 , Pressure 1: 11.64 , Pressure 2: 1.45 , Pressure 3: 26.19 , Pressure 4: 14.55 , Horizontal: -0.01 
Total Pressure: 110.57 , Pressure 1: 26.19 , Pressure 2: 13.09 , Pressure 3: 46.56 , Pressure 4: 24.73 , Horizontal: 0.00 
Total Pressure: 177.49 , Pressure 1: 53.83 , Pressure 2: 24.73 , Pressure 3: 59.65 , Pressure 4: 39.28 , Horizontal: 0.01 
Total Pressure: 256.06 , Pressure 1: 74.20 , Pressure 2: 37.83 , Pressure 3: 78.56 , Pressure 4: 65.47 , Horizontal: -0.01 
Total Pressure: 404.45 , Pressure 1: 120.75 , Pressure 2: 65.47 , Pressure 3: 120.75 , Pressure 4: 97.48 , Horizontal: 0.03 
Total Pressure: 529.57 , Pressure 1: 158.58 , Pressure 2: 88.75 , Pressure 3: 152.76 , Pressure 4: 129.48 , Horizontal: 0.02 
Total Pressure: 661.96 , Pressure 1: 194.95 , Pressure 2: 116.39 , Pressure 3: 186.22 , Pressure 4: 164.40 , Horizontal: 0.00 
Total Pressure: 672.15 , Pressure 1: 189.13 , Pressure 2: 120.75 , Pressure 3: 196.41 , Pressure 4: 165.85 , Horizontal: -0.01 
Total Pressure: 682.33 , Pressure 1: 197.86 , Pressure 2: 117.84 , Pressure 3: 199.32 , Pressure 4: 167.31 , Horizontal: 0.02 
Total Pressure: 673.60 , Pressure 1: 197.86 , Pressure 2: 116.39 , Pressure 3: 196.41 , Pressure 4: 162.94 , Horizontal: -0.03 
Total Pressure: 378.27 , Pressure 1: 110.57 , Pressure 2: 53.83 , Pressure 3: 125.12 , Pressure 4: 88.75 , Horizontal: 0.00 
Total Pressure: 78.56 , Pressure 1: 11.64 , Pressure 2: 11.64 , Pressure 3: 37.83 , Pressure 4: 17.46 , Horizontal: -0.01 
Total Pressure: 14.55 , Pressure 1: 8.73 , Pressure 2: -1.45 , Pressure 3: 2.91 , Pressure 4: 4.36 , Horizontal: -0.01 
Total Pressure: 17.46 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: 18.91 , Pressure 4: 2.91 , Horizontal: -0.03 
Total Pressure: 16.00 , Pressure 1: -1.45 , Pressure 2: 2.91 , Pressure 3: 13.09 , Pressure 4: 1.45 , Horizontal: -0.01 
Total Pressure: 1.45 , Pressure 1: -1.45 , Pressure 2: 2.91 , Pressure 3: 1.45 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: 11.64 , Pressure 1: 1.45 , Pressure 2: 0.00 , Pressure 3: 7.27 , Pressure 4: 2.91 , Horizontal: 0.02 
Total Pressure: 39.28 , Pressure 1: 13.09 , Pressure 2: 4.36 , Pressure 3: 8.73 , Pressure 4: 13.09 , Horizontal: 0.00 
Total Pressure: 91.66 , Pressure 1: 32.01 , Pressure 2: 11.64 , Pressure 3: 23.28 , Pressure 4: 24.73 , Horizontal: 0.01 
Total Pressure: 176.04 , Pressure 1: 48.01 , Pressure 2: 18.91 , Pressure 3: 65.47 , Pressure 4: 43.65 , Horizontal: -0.01 
Total Pressure: 292.43 , Pressure 1: 85.84 , Pressure 2: 42.19 , Pressure 3: 96.02 , Pressure 4: 68.38 , Horizontal: 0.02 
Total Pressure: 391.36 , Pressure 1: 116.39 , Pressure 2: 64.01 , Pressure 3: 113.48 , Pressure 4: 97.48 , Horizontal: -0.02 
Total Pressure: 560.12 , Pressure 1: 165.85 , Pressure 2: 94.57 , Pressure 3: 160.04 , Pressure 4: 139.67 , Horizontal: 0.00 
Total Pressure: 693.97 , Pressure 1: 196.41 , Pressure 2: 122.21 , Pressure 3: 199.32 , Pressure 4: 176.04 , Horizontal: 0.03 
Total Pressure: 778.35 , Pressure 1: 221.14 , Pressure 2: 139.67 , Pressure 3: 225.50 , Pressure 4: 192.04 , Horizontal: -0.01 
